reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test
EX_glyc_e,glyc_e <=> ,ok,ok,ok,ok,ok
EX_glyclt_e,glyclt_e <=> ,ok,ok,ok,ok,ok
EX_glygly_e,glygly_e <=> ,ok,ok,ok,ok,ok
EX_glyglygln_e,glyglygln_e <=> ,ok,ok,ok,ok,ok
EX_gmp_e,gmp_e <=> ,ok,ok,ok,ok,ok
EX_gsn_e,gsn_e <=> ,ok,ok,ok,ok,ok
EX_gthrd_e,gthrd_e <=> ,ok,ok,ok,ok,ok
EX_gtp_e,gtp_e <=> ,ok,ok,ok,ok,ok
EX_gua_e,gua_e <=> ,ok,ok,ok,ok,ok
EX_h2_e,h2_e <=> ,ok,ok,ok,ok,ok
EX_h2o2_e,h2o2_e <=> ,ok,ok,ok,ok,ok
EX_h2o_e,h2o_e <=> ,ok,ok,ok,ok,ok
EX_h2s_e,h2s_e <=> ,ok,ok,ok,ok,ok
EX_h_e,h_e <=> ,ok,ok,ok,ok,ok
EX_hco3_e,hco3_e <=> ,ok,ok,ok,ok,ok
EX_hdca_e,hdca_e <=> ,ok,ok,ok,ok,ok
EX_hdcea_e,hdcea_e <=> ,ok,ok,ok,ok,ok
EX_hg2_e,hg2_e <=> ,ok,ok,ok,ok,ok
EX_his__L_e,his__L_e <=> ,ok,ok,ok,ok,ok
EX_hom__L_e,hom__L_e <=> ,ok,ok,ok,ok,ok
EX_hqn_e,hqn_e <=> ,ok,ok,ok,ok,ok
EX_hxa_e,hxa_e <=> ,ok,ok,ok,ok,ok
EX_hxan_e,hxan_e <=> ,ok,ok,ok,ok,ok
EX_icit_e,icit_e <=> ,ok,ok,ok,ok,ok
EX_idon__L_e,idon__L_e <=> ,ok,ok,ok,ok,ok
EX_ile__L_e,ile__L_e <=> ,ok,ok,ok,ok,ok
EX_imp_e,imp_e <=> ,ok,ok,ok,ok,ok
EX_ind3ac_e,ind3ac_e <=> ,ok,ok,ok,ok,ok
EX_indole_e,indole_e <=> ,ok,ok,ok,ok,ok
EX_inost_e,inost_e <=> ,ok,ok,ok,ok,ok
EX_ins_e,ins_e <=> ,ok,ok,ok,ok,ok
EX_isetac_e,isetac_e <=> ,ok,ok,ok,ok,ok
EX_istfrnA_e,istfrnA_e <=> ,ok,ok,ok,ok,ok
EX_istfrnB_e,istfrnB_e <=> ,ok,ok,ok,ok,ok
EX_k_e,k_e <=> ,ok,ok,ok,ok,ok
EX_lac__D_e,lac__D_e <=> ,ok,ok,ok,ok,ok
EX_lac__L_e,lac__L_e <=> ,ok,ok,ok,ok,ok
EX_lcts_e,lcts_e <=> ,ok,ok,ok,ok,ok
EX_leu__L_e,leu__L_e <=> ,ok,ok,ok,ok,ok
EX_lipoate_e,lipoate_e <=> ,ok,ok,ok,ok,ok
EX_lys__D_e,lys__D_e <=> ,ok,ok,ok,ok,ok
EX_lys__L_e,lys__L_e <=> ,ok,ok,ok,ok,ok
EX_lysglugly_e,lysglugly_e <=> ,ok,ok,ok,ok,ok
EX_lyx__L_e,lyx__L_e <=> ,ok,ok,ok,ok,ok
EX_m_xyl_e,m_xyl_e <=> ,ok,ok,ok,ok,ok
EX_madg_e,madg_e <=> ,ok,ok,ok,ok,ok
EX_mal__D_e,mal__D_e <=> ,ok,ok,ok,ok,ok
EX_mal__L_e,mal__L_e <=> ,ok,ok,ok,ok,ok
EX_malt_e,malt_e <=> ,ok,ok,ok,ok,ok
EX_malthp_e,malthp_e <=> ,ok,ok,ok,ok,ok
EX_malthx_e,malthx_e <=> ,ok,ok,ok,ok,ok
EX_maltpt_e,maltpt_e <=> ,ok,ok,ok,ok,ok
EX_malttr_e,malttr_e <=> ,ok,ok,ok,ok,ok
EX_maltttr_e,maltttr_e <=> ,ok,ok,ok,ok,ok
EX_man6p_e,man6p_e <=> ,ok,ok,ok,ok,ok
EX_man_e,man_e <=> ,ok,ok,ok,ok,ok
EX_manglyc_e,manglyc_e <=> ,ok,ok,ok,ok,ok
EX_mbdg_e,mbdg_e <=> ,ok,ok,ok,ok,ok
EX_melib_e,melib_e <=> ,ok,ok,ok,ok,ok
EX_meoh_e,meoh_e <=> ,ok,ok,ok,ok,ok
EX_met_L_ala__L_e,met_L_ala__L_e <=> ,ok,ok,ok,ok,ok
EX_met__D_e,met__D_e <=> ,ok,ok,ok,ok,ok
EX_met__L_e,met__L_e <=> ,ok,ok,ok,ok,ok
EX_metglcur_e,metglcur_e <=> ,ok,ok,ok,ok,ok
EX_metox__R_e,metox__R_e <=> ,ok,ok,ok,ok,ok
EX_metox_e,metox_e <=> ,ok,ok,ok,ok,ok
EX_metsox_R__L_e,metsox_R__L_e <=> ,ok,ok,ok,ok,ok
EX_metsox_S__L_e,metsox_S__L_e <=> ,ok,ok,ok,ok,ok
EX_mg2_e,mg2_e <=> ,ok,ok,ok,ok,ok
EX_mmet_e,mmet_e <=> ,ok,ok,ok,ok,ok
EX_mn2_e,mn2_e <=> ,ok,ok,ok,ok,ok
EX_mnl_e,mnl_e <=> ,ok,ok,ok,ok,ok
EX_mobd_e,mobd_e <=> ,ok,ok,ok,ok,ok
EX_mso3_e,mso3_e <=> ,ok,ok,ok,ok,ok
EX_mththf_e,mththf_e <=> ,ok,ok,ok,ok,ok
EX_n2o_e,n2o_e <=> ,ok,ok,ok,ok,ok
EX_na1_e,na1_e <=> ,ok,ok,ok,ok,ok
EX_nac_e,nac_e <=> ,ok,ok,ok,ok,ok
EX_nh4_e,nh4_e <=> ,ok,ok,ok,ok,ok
EX_ni2_e,ni2_e <=> ,ok,ok,ok,ok,ok
EX_nmn_e,nmn_e <=> ,ok,ok,ok,ok,ok
EX_no2_e,no2_e <=> ,ok,ok,ok,ok,ok
EX_no3_e,no3_e <=> ,ok,ok,ok,ok,ok
EX_no_e,no_e <=> ,ok,ok,ok,ok,ok
EX_novbcn_e,novbcn_e <=> ,ok,ok,ok,ok,ok
EX_o2_e,o2_e <=> ,ok,ok,ok,ok,ok
EX_o2s_e,o2s_e <=> ,ok,ok,ok,ok,ok
EX_oaa_e,oaa_e <=> ,ok,ok,ok,ok,ok
EX_ocdca_e,ocdca_e <=> ,ok,ok,ok,ok,ok
EX_ocdcea_e,ocdcea_e <=> ,ok,ok,ok,ok,ok
EX_octa_e,octa_e <=> ,ok,ok,ok,ok,ok
EX_orn_e,orn_e <=> ,ok,ok,ok,ok,ok
EX_orot_e,orot_e <=> ,ok,ok,ok,ok,ok
EX_oxa_e,oxa_e <=> ,ok,ok,ok,ok,ok
EX_p_xyl_e,p_xyl_e <=> ,ok,ok,ok,ok,ok
EX_pac_e,pac_e <=> ,ok,ok,ok,ok,ok
EX_pacald_e,pacald_e <=> ,ok,ok,ok,ok,ok
EX_peamn_e,peamn_e <=> ,ok,ok,ok,ok,ok
EX_peng_e,peng_e <=> ,ok,ok,ok,ok,ok
EX_pep_e,pep_e <=> ,ok,ok,ok,ok,ok
EX_phe__L_e,phe__L_e <=> ,ok,ok,ok,ok,ok
EX_pheme_e,pheme_e <=> ,ok,ok,ok,ok,ok
EX_pi_e,pi_e <=> ,ok,ok,ok,ok,ok
EX_pime_e,pime_e <=> ,ok,ok,ok,ok,ok
EX_pnto__R_e,pnto__R_e <=> ,ok,ok,ok,ok,ok
EX_ppa_e,ppa_e <=> ,ok,ok,ok,ok,ok
EX_ppal_e,ppal_e <=> ,ok,ok,ok,ok,ok
EX_ppap_e,ppap_e <=> ,ok,ok,ok,ok,ok
EX_pppn_e,pppn_e <=> ,ok,ok,ok,ok,ok
EX_ppt_e,ppt_e <=> ,ok,ok,ok,ok,ok
EX_pro__L_e,pro__L_e <=> ,ok,ok,ok,ok,ok
EX_progly_e,progly_e <=> ,ok,ok,ok,ok,ok
EX_pser__L_e,pser__L_e <=> ,ok,ok,ok,ok,ok
EX_ptrc_e,ptrc_e <=> ,ok,ok,ok,ok,ok
EX_pydam_e,pydam_e <=> ,ok,ok,ok,ok,ok
EX_pyovd_kt_e,pyovd_kt_e <=> ,ok,ok,ok,ok,ok
EX_pyr_e,pyr_e <=> ,ok,ok,ok,ok,ok
EX_quin_e,quin_e <=> ,ok,ok,ok,ok,ok
EX_r5p_e,r5p_e <=> ,ok,ok,ok,ok,ok
EX_raffin_e,raffin_e <=> ,ok,ok,ok,ok,ok
EX_rib__D_e,rib__D_e <=> ,ok,ok,ok,ok,ok
EX_rmn_e,rmn_e <=> ,ok,ok,ok,ok,ok
EX_rnam_e,rnam_e <=> ,ok,ok,ok,ok,ok
EX_s_e,s_e <=> ,ok,ok,ok,ok,ok
EX_salchs4_e,salchs4_e <=> ,ok,ok,ok,ok,ok
EX_salchs4fe_e,salchs4fe_e <=> ,ok,ok,ok,ok,ok
EX_salcn_e,salcn_e <=> ,ok,ok,ok,ok,ok
EX_sbt__D_e,sbt__D_e <=> ,ok,ok,ok,ok,ok
EX_sel_e,sel_e <=> ,ok,ok,ok,ok,ok
EX_ser__D_e,ser__D_e <=> ,ok,ok,ok,ok,ok
EX_ser__L_e,ser__L_e <=> ,ok,ok,ok,ok,ok
EX_serglugly_e,serglugly_e <=> ,ok,ok,ok,ok,ok
EX_sheme_e,sheme_e <=> ,ok,ok,ok,ok,ok
EX_skm_e,skm_e <=> ,ok,ok,ok,ok,ok
EX_slnt_e,slnt_e <=> ,ok,ok,ok,ok,ok
EX_so3_e,so3_e <=> ,ok,ok,ok,ok,ok
EX_so4_e,so4_e <=> ,ok,ok,ok,ok,ok
EX_spmd_e,spmd_e <=> ,ok,ok,ok,ok,ok
EX_stfrnA_e,stfrnA_e <=> ,ok,ok,ok,ok,ok
EX_stfrnB_e,stfrnB_e <=> ,ok,ok,ok,ok,ok
EX_succ_e,succ_e <=> ,ok,ok,ok,ok,ok
EX_sucr_e,sucr_e <=> ,ok,ok,ok,ok,ok
EX_sulfac_e,sulfac_e <=> ,ok,ok,ok,ok,ok
EX_tag__D_e,tag__D_e <=> ,ok,ok,ok,ok,ok
EX_tartr__D_e,tartr__D_e <=> ,ok,ok,ok,ok,ok
EX_tartr__L_e,tartr__L_e <=> ,ok,ok,ok,ok,ok
EX_taur_e,taur_e <=> ,ok,ok,ok,ok,ok
EX_tcynt_e,tcynt_e <=> ,ok,ok,ok,ok,ok
EX_tet_e,tet_e <=> ,ok,ok,ok,ok,ok
EX_thm_e,thm_e <=> ,ok,ok,ok,ok,ok
EX_thr__L_e,thr__L_e <=> ,ok,ok,ok,ok,ok
EX_thrp_e,thrp_e <=> ,ok,ok,ok,ok,ok
EX_thym_e,thym_e <=> ,ok,ok,ok,ok,ok
EX_thymd_e,thymd_e <=> ,ok,ok,ok,ok,ok
EX_tma_e,tma_e <=> ,ok,ok,ok,ok,ok
EX_tmao_e,tmao_e <=> ,ok,ok,ok,ok,ok
EX_tnt_e,tnt_e <=> ,ok,ok,ok,ok,ok
EX_tol_e,tol_e <=> ,ok,ok,ok,ok,ok
EX_tre_e,tre_e <=> ,ok,ok,ok,ok,ok
EX_trp__L_e,trp__L_e <=> ,ok,ok,ok,ok,ok
EX_tsul_e,tsul_e <=> ,ok,ok,ok,ok,ok
EX_ttdca_e,ttdca_e <=> ,ok,ok,ok,ok,ok
EX_ttdcea_e,ttdcea_e <=> ,ok,ok,ok,ok,ok
EX_ttrcyc_e,ttrcyc_e <=> ,ok,ok,ok,ok,ok
EX_tym_e,tym_e <=> ,ok,ok,ok,ok,ok
EX_tyr__L_e,tyr__L_e <=> ,ok,ok,ok,ok,ok
EX_tyrp_e,tyrp_e <=> ,ok,ok,ok,ok,ok
EX_uacgam_e,uacgam_e <=> ,ok,ok,ok,ok,ok
EX_udpacgal_e,udpacgal_e <=> ,ok,ok,ok,ok,ok
EX_udpg_e,udpg_e <=> ,ok,ok,ok,ok,ok
EX_udpgal_e,udpgal_e <=> ,ok,ok,ok,ok,ok
EX_udpglcur_e,udpglcur_e <=> ,ok,ok,ok,ok,ok
EX_ump_e,ump_e <=> ,ok,ok,ok,ok,ok
EX_ura_e,ura_e <=> ,ok,ok,ok,ok,ok
EX_urea_e,urea_e <=> ,ok,ok,ok,ok,ok
EX_uri_e,uri_e <=> ,ok,ok,ok,ok,ok
EX_val__L_e,val__L_e <=> ,ok,ok,ok,ok,ok
EX_vanlt_e,vanlt_e <=> ,ok,ok,ok,ok,ok
EX_xan_e,xan_e <=> ,ok,ok,ok,ok,ok
EX_xmp_e,xmp_e <=> ,ok,ok,ok,ok,ok
EX_xtsn_e,xtsn_e <=> ,ok,ok,ok,ok,ok
EX_xyl__D_e,xyl__D_e <=> ,ok,ok,ok,ok,ok
EX_xylan4_e,xylan4_e <=> ,ok,ok,ok,ok,ok
EX_zn2_e,zn2_e <=> ,ok,ok,ok,ok,ok
12DGR120tipp,12dgr120_p --> 12dgr120_c,ok,ok,ok,ok,ok
12DGR140tipp,12dgr140_p --> 12dgr140_c,ok,ok,ok,ok,ok
12DGR141tipp,12dgr141_p --> 12dgr141_c,ok,ok,ok,ok,ok
12DGR161tipp,12dgr161_p --> 12dgr161_c,ok,ok,ok,ok,ok
12DGR180tipp,12dgr180_p --> 12dgr180_c,ok,ok,ok,ok,ok
12PPDRDH,12ppd__R_c --> h2o_c + ppal_c,ok,ok,ok,ok,ok
