reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
EX_actn__R_e,actn__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_ad_e,ad_e <=> ,ok,ok,ok,ok,ok,ok
EX_ade_e,ade_e <=> ,ok,ok,ok,ok,ok,ok
EX_agm_e,agm_e <=> ,ok,ok,ok,ok,ok,ok
EX_akg_e,akg_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_B_e,ala_B_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_asp__L_e,ala_L_asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_glu__L_e,ala_L_glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala__D_e,ala__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala__L_e,ala__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_alaala_e,alaala_e <=> ,ok,ok,ok,ok,ok,ok
EX_alahis_e,alahis_e <=> ,ok,ok,ok,ok,ok,ok
EX_alaleu_e,alaleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_alathr_e,alathr_e <=> ,ok,ok,ok,ok,ok,ok
EX_alatrp_e,alatrp_e <=> ,ok,ok,ok,ok,ok,ok
EX_apc_e,apc_e <=> ,ok,ok,ok,ok,ok,ok
EX_arab__L_e,arab__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_arbt6p_e,arbt6p_e <=> ,ok,ok,ok,ok,ok,ok
EX_arbt_e,arbt_e <=> ,ok,ok,ok,ok,ok,ok
EX_arg__L_e,arg__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ascb__L_e,ascb__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_asn__L_e,asn__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_aso3_e,aso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_aso4_e,aso4_e <=> ,ok,ok,ok,ok,ok,ok
EX_asp__L_e,asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_balaala_e,balaala_e <=> ,ok,ok,ok,ok,ok,ok
EX_balabala_e,balabala_e <=> ,ok,ok,ok,ok,ok,ok
EX_balagly_e,balagly_e <=> ,ok,ok,ok,ok,ok,ok
EX_balaleu_e,balaleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_balamd_e,balamd_e <=> ,ok,ok,ok,ok,ok,ok
EX_btn_e,btn_e <=> ,ok,ok,ok,ok,ok,ok
EX_but_e,but_e <=> ,ok,ok,ok,ok,ok,ok
EX_butso3_e,butso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_bz_e,bz_e <=> ,ok,ok,ok,ok,ok,ok
EX_bzalc_e,bzalc_e <=> ,ok,ok,ok,ok,ok,ok
EX_ca2_e,ca2_e <=> ,ok,ok,ok,ok,ok,ok
EX_carn_e,carn_e <=> ,ok,ok,ok,ok,ok,ok
EX_catechol_e,catechol_e <=> ,ok,ok,ok,ok,ok,ok
EX_cd2_e,cd2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cellb_e,cellb_e <=> ,ok,ok,ok,ok,ok,ok
EX_cgly_e,cgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_ch4s_e,ch4s_e <=> ,ok,ok,ok,ok,ok,ok
EX_chol_e,chol_e <=> ,ok,ok,ok,ok,ok,ok
EX_chols_e,chols_e <=> ,ok,ok,ok,ok,ok,ok
EX_chsterol_e,chsterol_e <=> ,ok,ok,ok,ok,ok,ok
EX_chtbs_e,chtbs_e <=> ,ok,ok,ok,ok,ok,ok
EX_cinnm_e,cinnm_e <=> ,ok,ok,ok,ok,ok,ok
EX_cit_e,cit_e <=> ,ok,ok,ok,ok,ok,ok
EX_cl_e,cl_e <=> ,ok,ok,ok,ok,ok,ok
EX_cm_e,cm_e <=> ,ok,ok,ok,ok,ok,ok
EX_cmcbtt_e,cmcbtt_e <=> ,ok,ok,ok,ok,ok,ok
EX_co2_e,co2_e <=> ,ok,ok,ok,ok,ok,ok
EX_co_e,co_e <=> ,ok,ok,ok,ok,ok,ok
EX_cobalt2_e,cobalt2_e <=> ,ok,ok,ok,ok,ok,ok
EX_crn_e,crn_e <=> ,ok,ok,ok,ok,ok,ok
EX_crtn_e,crtn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cu2_e,cu2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cu_e,cu_e <=> ,ok,ok,ok,ok,ok,ok
EX_cyan_e,cyan_e <=> ,ok,ok,ok,ok,ok,ok
EX_cynt_e,cynt_e <=> ,ok,ok,ok,ok,ok,ok
EX_cys__L_e,cys__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_d23hb_e,d23hb_e <=> ,ok,ok,ok,ok,ok,ok
EX_dca_e,dca_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmgly_e,dmgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmso2_e,dmso2_e <=> ,ok,ok,ok,ok,ok,ok
EX_doxrbcn_e,doxrbcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_drib_e,drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_dxyl_e,dxyl_e <=> ,ok,ok,ok,ok,ok,ok
EX_dxylnt_e,dxylnt_e <=> ,ok,ok,ok,ok,ok,ok
EX_ecto__L_e,ecto__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_enter_e,enter_e <=> ,ok,ok,ok,ok,ok,ok
EX_etha_e,etha_e <=> ,ok,ok,ok,ok,ok,ok
EX_ethso3_e,ethso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_etoh_e,etoh_e <=> ,ok,ok,ok,ok,ok,ok
EX_fald_e,fald_e <=> ,ok,ok,ok,ok,ok,ok
EX_fcmcbtt_e,fcmcbtt_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe2_e,fe2_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3_e,fe3_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dcit_e,fe3dcit_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dhbzs3_e,fe3dhbzs3_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dhbzs_e,fe3dhbzs_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3pyovd_kt_e,fe3pyovd_kt_e <=> ,ok,ok,ok,ok,ok,ok
EX_feenter_e,feenter_e <=> ,ok,ok,ok,ok,ok,ok
EX_feoxam_e,feoxam_e <=> ,ok,ok,ok,ok,ok,ok
EX_feoxam_un_e,feoxam_un_e <=> ,ok,ok,ok,ok,ok,ok
EX_fol_e,fol_e <=> ,ok,ok,ok,ok,ok,ok
EX_for_e,for_e <=> ,ok,ok,ok,ok,ok,ok
EX_frmd_e,frmd_e <=> ,ok,ok,ok,ok,ok,ok
EX_fru_e,fru_e <=> ,ok,ok,ok,ok,ok,ok
EX_fuc__L_e,fuc__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_fum_e,fum_e <=> ,ok,ok,ok,ok,ok,ok
EX_fusa_e,fusa_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pc_e,g3pc_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pe_e,g3pe_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pg_e,g3pg_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pi_e,g3pi_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3ps_e,g3ps_e <=> ,ok,ok,ok,ok,ok,ok
EX_gal_bD_e,gal_bD_e <=> ,ok,ok,ok,ok,ok,ok
EX_gal_e,gal_e <=> ,ok,ok,ok,ok,ok,ok
EX_galctn__D_e,galctn__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_galt_e,galt_e <=> ,ok,ok,ok,ok,ok,ok
EX_galur_e,galur_e <=> ,ok,ok,ok,ok,ok,ok
EX_gam_e,gam_e <=> ,ok,ok,ok,ok,ok,ok
EX_glc__D_e,glc__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_glc__aD_e,glc__aD_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcr_e,glcr_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcur_e,glcur_e <=> ,ok,ok,ok,ok,ok,ok
EX_gln__L_e,gln__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_glu__L_e,glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_glutar_e,glutar_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_asn__L_e,gly_asn__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_asp__L_e,gly_asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_e,gly_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_glu__L_e,gly_glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_gly_pro__L_e,gly_pro__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyb_e,glyb_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyc2p_e,glyc2p_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyc3p_e,glyc3p_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyc_e,glyc_e <=> ,ok,ok,ok,ok,ok,ok
EX_glygln_e,glygln_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyglu_e,glyglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_glygly_e,glygly_e <=> ,ok,ok,ok,ok,ok,ok
EX_glymet_e,glymet_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyphe_e,glyphe_e <=> ,ok,ok,ok,ok,ok,ok
EX_glyser_e,glyser_e <=> ,ok,ok,ok,ok,ok,ok
EX_gsn_e,gsn_e <=> ,ok,ok,ok,ok,ok,ok
EX_gthrd_e,gthrd_e <=> ,ok,ok,ok,ok,ok,ok
EX_gua_e,gua_e <=> ,ok,ok,ok,ok,ok,ok
EX_h2_e,h2_e <=> ,ok,ok,ok,ok,ok,ok
EX_h2o2_e,h2o2_e <=> ,ok,ok,ok,ok,ok,ok
EX_h2o_e,h2o_e <=> ,ok,ok,ok,ok,ok,ok
EX_h2s_e,h2s_e <=> ,ok,ok,ok,ok,ok,ok
EX_h_e,h_e <=> ,ok,ok,ok,ok,ok,ok
EX_hco3_e,hco3_e <=> ,ok,ok,ok,ok,ok,ok
EX_hexs_e,hexs_e <=> ,ok,ok,ok,ok,ok,ok
EX_hia_e,hia_e <=> ,ok,ok,ok,ok,ok,ok
EX_his__L_e,his__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_hisgly_e,hisgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_hishis_e,hishis_e <=> ,ok,ok,ok,ok,ok,ok
EX_hom__L_e,hom__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_hxa_e,hxa_e <=> ,ok,ok,ok,ok,ok,ok
EX_hxan_e,hxan_e <=> ,ok,ok,ok,ok,ok,ok
EX_icit_e,icit_e <=> ,ok,ok,ok,ok,ok,ok
EX_id3acald_e,id3acald_e <=> ,ok,ok,ok,ok,ok,ok
EX_ile__L_e,ile__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ind3ac_e,ind3ac_e <=> ,ok,ok,ok,ok,ok,ok
EX_indole_e,indole_e <=> ,ok,ok,ok,ok,ok,ok
EX_inost_e,inost_e <=> ,ok,ok,ok,ok,ok,ok
EX_ins_e,ins_e <=> ,ok,ok,ok,ok,ok,ok
EX_isetac_e,isetac_e <=> ,ok,ok,ok,ok,ok,ok
EX_istfrnA_e,istfrnA_e <=> ,ok,ok,ok,ok,ok,ok
EX_istfrnB_e,istfrnB_e <=> ,ok,ok,ok,ok,ok,ok
EX_k_e,k_e <=> ,ok,ok,ok,ok,ok,ok
EX_lcts_e,lcts_e <=> ,ok,ok,ok,ok,ok,ok
EX_leu__D_e,leu__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_leu__L_e,leu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_leuleu_e,leuleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_lipoate_e,lipoate_e <=> ,ok,ok,ok,ok,ok,ok
EX_lnlc_e,lnlc_e <=> ,ok,ok,ok,ok,ok,ok
EX_lys__D_e,lys__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_lys__L_e,lys__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_m_xyl_e,m_xyl_e <=> ,ok,ok,ok,ok,ok,ok
EX_mal__D_e,mal__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_mal__L_e,mal__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_malt_e,malt_e <=> ,ok,ok,ok,ok,ok,ok
EX_malthp_e,malthp_e <=> ,ok,ok,ok,ok,ok,ok
EX_malthx_e,malthx_e <=> ,ok,ok,ok,ok,ok,ok
EX_malttr_e,malttr_e <=> ,ok,ok,ok,ok,ok,ok
EX_maltttr_e,maltttr_e <=> ,ok,ok,ok,ok,ok,ok
EX_man_e,man_e <=> ,ok,ok,ok,ok,ok,ok
EX_melib_e,melib_e <=> ,ok,ok,ok,ok,ok,ok
EX_meoh_e,meoh_e <=> ,ok,ok,ok,ok,ok,ok
EX_met_L_ala__L_e,met_L_ala__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_met__D_e,met__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_met__L_e,met__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_metox__R_e,metox__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_metox_e,metox_e <=> ,ok,ok,ok,ok,ok,ok
EX_mg2_e,mg2_e <=> ,ok,ok,ok,ok,ok,ok
EX_mn2_e,mn2_e <=> ,ok,ok,ok,ok,ok,ok
EX_mnl_e,mnl_e <=> ,ok,ok,ok,ok,ok,ok
EX_mobd_e,mobd_e <=> ,ok,ok,ok,ok,ok,ok
EX_mso3_e,mso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_n2o_e,n2o_e <=> ,ok,ok,ok,ok,ok,ok
EX_na1_e,na1_e <=> ,ok,ok,ok,ok,ok,ok
EX_nh4_e,nh4_e <=> ,ok,ok,ok,ok,ok,ok
EX_ni2_e,ni2_e <=> ,ok,ok,ok,ok,ok,ok
EX_nmn_e,nmn_e <=> ,ok,ok,ok,ok,ok,ok
EX_no2_e,no2_e <=> ,ok,ok,ok,ok,ok,ok
EX_no3_e,no3_e <=> ,ok,ok,ok,ok,ok,ok
EX_no_e,no_e <=> ,ok,ok,ok,ok,ok,ok
EX_novbcn_e,novbcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_o2_e,o2_e <=> ,ok,ok,ok,ok,ok,ok
EX_oaa_e,oaa_e <=> ,ok,ok,ok,ok,ok,ok
EX_octa_e,octa_e <=> ,ok,ok,ok,ok,ok,ok
EX_orot_e,orot_e <=> ,ok,ok,ok,ok,ok,ok
EX_oxa_e,oxa_e <=> ,ok,ok,ok,ok,ok,ok
EX_p_xyl_e,p_xyl_e <=> ,ok,ok,ok,ok,ok,ok
EX_pacald_e,pacald_e <=> ,ok,ok,ok,ok,ok,ok
EX_pea_e,pea_e <=> ,ok,ok,ok,ok,ok,ok
EX_peamn_e,peamn_e <=> ,ok,ok,ok,ok,ok,ok
EX_pentso3_e,pentso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_phe__L_e,phe__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_phedca_e,phedca_e <=> ,ok,ok,ok,ok,ok,ok
EX_pheme_e,pheme_e <=> ,ok,ok,ok,ok,ok,ok
EX_phenona_e,phenona_e <=> ,ok,ok,ok,ok,ok,ok
EX_pi_e,pi_e <=> ,ok,ok,ok,ok,ok,ok
EX_pime_e,pime_e <=> ,ok,ok,ok,ok,ok,ok
EX_ppa_e,ppa_e <=> ,ok,ok,ok,ok,ok,ok
EX_ppoh_e,ppoh_e <=> ,ok,ok,ok,ok,ok,ok
EX_pro__L_e,pro__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_progly_e,progly_e <=> ,ok,ok,ok,ok,ok,ok
EX_prohisglu_e,prohisglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_psclys_e,psclys_e <=> ,ok,ok,ok,ok,ok,ok
EX_ptrc_e,ptrc_e <=> ,ok,ok,ok,ok,ok,ok
EX_ptsla_e,ptsla_e <=> ,ok,ok,ok,ok,ok,ok
EX_pyovd_kt_e,pyovd_kt_e <=> ,ok,ok,ok,ok,ok,ok
EX_pyr_e,pyr_e <=> ,ok,ok,ok,ok,ok,ok
EX_raffin_e,raffin_e <=> ,ok,ok,ok,ok,ok,ok
EX_rib__D_e,rib__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_ribflv_e,ribflv_e <=> ,ok,ok,ok,ok,ok,ok
EX_rmn_e,rmn_e <=> ,ok,ok,ok,ok,ok,ok
EX_rnam_e,rnam_e <=> ,ok,ok,ok,ok,ok,ok
EX_s_e,s_e <=> ,ok,ok,ok,ok,ok,ok
EX_salc_e,salc_e <=> ,ok,ok,ok,ok,ok,ok
EX_salchs2_e,salchs2_e <=> ,ok,ok,ok,ok,ok,ok
EX_salchs4fe_e,salchs4fe_e <=> ,ok,ok,ok,ok,ok,ok
EX_salchsx_e,salchsx_e <=> ,ok,ok,ok,ok,ok,ok
EX_sbt__D_e,sbt__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_sel_e,sel_e <=> ,ok,ok,ok,ok,ok,ok
EX_ser__D_e,ser__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_ser__L_e,ser__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_serglugly_e,serglugly_e <=> ,ok,ok,ok,ok,ok,ok
EX_sheme_e,sheme_e <=> ,ok,ok,ok,ok,ok,ok
EX_skm_e,skm_e <=> ,ok,ok,ok,ok,ok,ok
EX_slnt_e,slnt_e <=> ,ok,ok,ok,ok,ok,ok
EX_so3_e,so3_e <=> ,ok,ok,ok,ok,ok,ok
EX_so4_e,so4_e <=> ,ok,ok,ok,ok,ok,ok
EX_spmd_e,spmd_e <=> ,ok,ok,ok,ok,ok,ok
EX_stfrnA_e,stfrnA_e <=> ,ok,ok,ok,ok,ok,ok
EX_stfrnB_e,stfrnB_e <=> ,ok,ok,ok,ok,ok,ok
EX_succ_e,succ_e <=> ,ok,ok,ok,ok,ok,ok
EX_sucr_e,sucr_e <=> ,ok,ok,ok,ok,ok,ok
EX_sulfac_e,sulfac_e <=> ,ok,ok,ok,ok,ok,ok
EX_tartr__D_e,tartr__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_tartr__L_e,tartr__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_taur_e,taur_e <=> ,ok,ok,ok,ok,ok,ok
EX_tcynt_e,tcynt_e <=> ,ok,ok,ok,ok,ok,ok
EX_thm_e,thm_e <=> ,ok,ok,ok,ok,ok,ok
EX_thr__L_e,thr__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_thym_e,thym_e <=> ,ok,ok,ok,ok,ok,ok
EX_tnt_e,tnt_e <=> ,ok,ok,ok,ok,ok,ok
EX_tol_e,tol_e <=> ,ok,ok,ok,ok,ok,ok
EX_tre6p_e,tre6p_e <=> ,ok,ok,ok,ok,ok,ok
EX_tre_e,tre_e <=> ,ok,ok,ok,ok,ok,ok
EX_trp__L_e,trp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_tsul_e,tsul_e <=> ,ok,ok,ok,ok,ok,ok
EX_ttrcyc_e,ttrcyc_e <=> ,ok,ok,ok,ok,ok,ok
EX_tyr__D_e,tyr__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_tyr__L_e,tyr__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ura_e,ura_e <=> ,ok,ok,ok,ok,ok,ok
EX_val__D_e,val__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_val__L_e,val__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_xan_e,xan_e <=> ,ok,ok,ok,ok,ok,ok
EX_xyl__D_e,xyl__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_xylu__L_e,xylu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_zn2_e,zn2_e <=> ,ok,ok,ok,ok,ok,ok
12DGR120tipp,12dgr120_p --> 12dgr120_c,ok,ok,ok,ok,ok,ok
12DGR140tipp,12dgr140_p --> 12dgr140_c,ok,ok,ok,ok,ok,ok
12DGR141tipp,12dgr141_p --> 12dgr141_c,ok,ok,ok,ok,ok,ok
12DGR161tipp,12dgr161_p --> 12dgr161_c,ok,ok,ok,ok,ok,ok
12DGR180tipp,12dgr180_p --> 12dgr180_c,ok,ok,ok,ok,ok,ok
12PPDRte,12ppd__R_c <=> 12ppd__R_e,ok,ok,ok,ok,ok,only when going backwards
13PPDH,3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c,ok,ok,ok,ok,ok,3hppnl_c;13ppd_c
1P2CBXLCYCL,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,ok,ok,ok,ok,ok,only when going backwards
1P2CBXLR,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,ok,ok,ok,ok,ok,ok
1PPDCRc,1pipdn2c_c + h_c + nadph_c --> Lpipecol_c + nadp_c,ok,ok,ok,ok,ok,ok
1PY4h3cAH,1py4h3c_c + h2o_c + h_c --> 25dop_c + nh4_c,ok,ok,ok,ok,ok,ok
23CTI1,decoa_c --> dc2coa_c,ok,ok,ok,ok,ok,ok
23CTI2,dded3coa_c --> dd2coa_c,ok,ok,ok,ok,ok,ok
23CTI3,dd_3_6_coa_c --> dd6_2_coa_c,ok,ok,ok,ok,ok,ok
25DKGLCNt2rpp,25dkglcn_p + h_p --> 25dkglcn_c + h_c,ok,ok,ok,ok,ok,ok
25DKGLCNtex,25dkglcn_e <=> 25dkglcn_p,ok,ok,ok,ok,ok,only when going backwards
2AGPE120tipp,2agpe120_p --> 2agpe120_c,ok,ok,ok,ok,ok,ok
2AGPE161tipp,2agpe161_p --> 2agpe161_c,ok,ok,ok,ok,ok,ok
2AGPE180tipp,2agpe180_p --> 2agpe180_c,ok,ok,ok,ok,ok,ok
2AGPE181tipp,2agpe181_p --> 2agpe181_c,ok,ok,ok,ok,ok,ok
2AGPEAT120,2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,ok,ok,ok,ok,ok,ok
2AGPEAT160,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,ok,ok,ok,ok,ok,ok
2AGPEAT161,2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,ok,ok,ok,ok,ok,ok
2AGPEAT180,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,ok,ok,ok,ok,ok,ok
2AGPEAT181,2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,ok,ok,ok,ok,ok,ok
2AGPG120tipp,2agpg120_p --> 2agpg120_c,ok,ok,ok,ok,ok,ok
2AGPG140tipp,2agpg140_p --> 2agpg140_c,ok,ok,ok,ok,ok,ok
2AGPG141tipp,2agpg141_p --> 2agpg141_c,ok,ok,ok,ok,ok,ok
2AGPG160tipp,2agpg160_p --> 2agpg160_c,ok,ok,ok,ok,ok,ok
2AGPG161tipp,2agpg161_p --> 2agpg161_c,ok,ok,ok,ok,ok,ok
2AGPG180tipp,2agpg180_p --> 2agpg180_c,ok,ok,ok,ok,ok,ok
2AGPG181tipp,2agpg181_p --> 2agpg181_c,ok,ok,ok,ok,ok,ok
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,ok,ok,ok,ok,ok,ok
