reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway
EX_dhptd_e,dhptd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_drib_e,drib_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_enter_e,enter_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_etha_e,etha_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fe2_e,fe2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fe3_e,fe3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fe3dcit_e,fe3dcit_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fe3dhbzs3_e,fe3dhbzs3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fe3pyovd_kt_e,fe3pyovd_kt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_feenter_e,feenter_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_for_e,for_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_forglu_e,forglu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_frmd_e,frmd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_fru_e,fru_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_g1p_e,g1p_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_g3pc_e,g3pc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ga_e,ga_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gal_bD_e,gal_bD_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gal_e,gal_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galct__D_e,galct__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galctn__D_e,galctn__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galman4_e,galman4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galman6_e,galman6_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galt_e,galt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_galur_e,galur_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gam_e,gam_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glc__D_e,glc__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glc__aD_e,glc__aD_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glcman4_e,glcman4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glcman6_e,glcman6_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glcr_e,glcr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glcur_e,glcur_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gln__L_e,gln__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glu__L_e,glu__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glucan4_e,glucan4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glucan6_e,glucan6_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glutar_e,glutar_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_asn__L_e,gly_asn__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_asp__L_e,gly_asp__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_cys_e,gly_cys_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_e,gly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_gln_e,gly_gln_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_glu__L_e,gly_glu__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_leu_e,gly_leu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_met_e,gly_met_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_phe_e,gly_phe_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_pro__L_e,gly_pro__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gly_tyr_e,gly_tyr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyb_e,glyb_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_glyc2p_e,glyc2p_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyc3p_e,glyc3p_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyc_e,glyc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glygln_e,glygln_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyglu_e,glyglu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glygly_e,glygly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyglygln_e,glyglygln_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glymet_e,glymet_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyphe_e,glyphe_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_glyser_e,glyser_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gmp_e,gmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gsn_e,gsn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gthrd_e,gthrd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_gua_e,gua_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_h2o2_e,h2o2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_h2o_e,h2o_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_h2s_e,h2s_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_h_e,h_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_his__L_e,his__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hisgly_e,hisgly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hishis_e,hishis_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hom__L_e,hom__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hqn_e,hqn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hxa_e,hxa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_hxan_e,hxan_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_icit_e,icit_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_id3acald_e,id3acald_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ile__L_e,ile__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ind3ac_e,ind3ac_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_inost_e,inost_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ins_e,ins_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_isetac_e,isetac_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_istfrnA_e,istfrnA_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_istfrnB_e,istfrnB_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_k_e,k_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lac__L_e,lac__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lcts_e,lcts_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_leu__L_e,leu__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_leuleu_e,leuleu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lipoate_e,lipoate_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lmn2_e,lmn2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lys__L_e,lys__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_lysglugly_e,lysglugly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_madg_e,madg_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_malt_e,malt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_malthp_e,malthp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_malthx_e,malthx_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_malttr_e,malttr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_maltttr_e,maltttr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_man_e,man_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_manb_e,manb_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_mantr_e,mantr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_manttr_e,manttr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_mbdg_e,mbdg_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_melib_e,melib_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_meoh_e,meoh_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_met_L_ala__L_e,met_L_ala__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_met__D_e,met__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_met__L_e,met__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_metox_e,metox_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,metox_e,1
EX_mg2_e,mg2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_mn2_e,mn2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_mnl_e,mnl_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_mobd_e,mobd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_n2o_e,n2o_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_na1_e,na1_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_nh4_e,nh4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ni2_e,ni2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_no2_e,no2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_no3_e,no3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_no_e,no_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_o2_e,o2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_octa_e,octa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_orn__L_e,orn__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_orn_e,orn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_oxa_e,oxa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pea_e,pea_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pentso3_e,pentso3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_phe__L_e,phe__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pheme_e,pheme_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pi_e,pi_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ppap_e,ppap_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ppt_e,ppt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pro__L_e,pro__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_progly_e,progly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_prohisglu_e,prohisglu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pser__L_e,pser__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ptrc_e,ptrc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pyovd_kt_e,pyovd_kt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_pyr_e,pyr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_quin_e,quin_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,quin_e,23
EX_r5p_e,r5p_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_raffin_e,raffin_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_rib__D_e,rib__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_rmn_e,rmn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salc_e,salc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salchs2fe_e,salchs2fe_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salchs4_e,salchs4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salchs4fe_e,salchs4fe_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salchsx_e,salchsx_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_salcn_e,salcn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_sbt__D_e,sbt__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_sel_e,sel_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ser__L_e,ser__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_serglugly_e,serglugly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_skm_e,skm_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_slnt_e,slnt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_so3_e,so3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_so4_e,so4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,so4_e,1
EX_spmd_e,spmd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_stfrnA_e,stfrnA_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_stfrnB_e,stfrnB_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_succ_e,succ_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_sucr_e,sucr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tcynt_e,tcynt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_thm_e,thm_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,thm_e,9
EX_thr__L_e,thr__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_thrp_e,thrp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tnt_e,tnt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tol_e,tol_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tre_e,tre_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_trp__L_e,trp__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tsul_e,tsul_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ttdca_e,ttdca_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_tyr__L_e,tyr__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ump_e,ump_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ura_e,ura_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_urea_e,urea_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_uri_e,uri_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_val__L_e,val__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xan_e,xan_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xtsn_e,xtsn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xyl3_e,xyl3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xyl__D_e,xyl__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xylan4_e,xylan4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_xylb_e,xylb_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_zn2_e,zn2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
12DGR120tipp,12dgr120_p --> 12dgr120_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr120_p;12dgr120_c,32
12DGR140tipp,12dgr140_p --> 12dgr140_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr140_p;12dgr140_c,30
